SEVERE: 2026-6-16 05:40:26: InmAreaDescObject.getAreaDescObjectFromUser(756): InmAreaDescObject getAreaDescObjectFromJar The fileDesc getAbsFileName() is not null AbsFileName = C:\U2000\client\client\bin\config.ini fileName = null areaName = LCT_Setting
SEVERE: 2026-6-16 05:40:26: InmAreaDescObject.getAreaDescObjectFromJar(797): InmAreaDescObject getAreaDescObjectFromJar The fileDesc getAbsFileName() is not null AbsFileName = C:\U2000\client\client\bin\config.ini fileName = null areaName = LCT_Setting
SEVERE: 2026-6-16 05:40:26: InmAreaDescObject.getDescObjectAgain(730): InmAreaDescObject.getDescObjectAgain() get InmDescObject is null  areaName = LCT_Setting fileName = null objectName = = LCTVersion
SEVERE: 2026-6-16 05:40:26: InmProfileFactory._getResourceURLByType(1285): Failed getResource URL from jar file. common/u2000/unitedmgr/profile/customizeboardcolor.ini
SEVERE: 2026-6-16 05:40:26: InmProfileFactory.getFileDescObjectFromUser(384): Failed getFileDescObjectFromUser(). filename= common\u2000\unitedmgr\profile\customizeboardcolor.ini
SEVERE: 2026-6-16 05:40:26: InmHelpMgr.getHelpIDRes(131): java.util.ResourceBundle.getObject(450)Can't find resource for bundle java.util.PropertyResourceBundle, key help_function_set_board_color
SEVERE: 2026-6-16 06:07:34: InmHelpMgr.getHelpIDRes(131): java.awt.Component.processMouseEvent(6530)Can't find resource for bundle java.util.PropertyResourceBundle, key U2000.TOPOSEARCH

SEVERE: 2026-6-16 06:07:34: InmHelpMgr.getHelpIDRes(131): javax.swing.JComponent.processMouseEvent(3324)Can't find resource for bundle java.util.PropertyResourceBundle, key U2000.TOPOSEARCH

SEVERE: 2026-6-16 06:07:34: InmHelpMgr.getHelpIDRes(131): java.awt.Component.processEvent(6298)Can't find resource for bundle java.util.PropertyResourceBundle, key U2000.TOPOSEARCH

SEVERE: 2026-6-16 06:07:34: InmHelpMgr.getHelpIDRes(131): java.awt.Container.processEvent(2237)Can't find resource for bundle java.util.PropertyResourceBundle, key U2000.TOPOSEARCH

SEVERE: 2026-6-16 06:07:34: InmHelpMgr.getHelpIDRes(131): java.awt.Component.dispatchEventImpl(4889)Can't find resource for bundle java.util.PropertyResourceBundle, key U2000.TOPOSEARCH

SEVERE: 2026-6-16 06:07:34: InmHelpMgr.getHelpIDRes(131): java.awt.Container.dispatchEventImpl(2295)Can't find resource for bundle java.util.PropertyResourceBundle, key U2000.TOPOSEARCH

SEVERE: 2026-6-16 06:07:34: InmHelpMgr.getHelpIDRes(131): java.awt.Component.dispatchEvent(4711)Can't find resource for bundle java.util.PropertyResourceBundle, key U2000.TOPOSEARCH

SEVERE: 2026-6-16 06:07:34: InmHelpMgr.getHelpIDRes(131): java.awt.LightweightDispatcher.retargetMouseEvent(4889)Can't find resource for bundle java.util.PropertyResourceBundle, key U2000.TOPOSEARCH

SEVERE: 2026-6-16 06:07:34: InmHelpMgr.getHelpIDRes(131): java.awt.LightweightDispatcher.processMouseEvent(4523)Can't find resource for bundle java.util.PropertyResourceBundle, key U2000.TOPOSEARCH

SEVERE: 2026-6-16 06:07:34: InmHelpMgr.getHelpIDRes(131): java.awt.LightweightDispatcher.dispatchEvent(4467)Can't find resource for bundle java.util.PropertyResourceBundle, key U2000.TOPOSEARCH

SEVERE: 2026-6-16 06:07:34: InmHelpMgr.getHelpIDRes(131): java.awt.Container.dispatchEventImpl(2281)Can't find resource for bundle java.util.PropertyResourceBundle, key U2000.TOPOSEARCH

SEVERE: 2026-6-16 06:07:34: InmHelpMgr.getHelpIDRes(131): java.awt.Window.dispatchEventImpl(2746)Can't find resource for bundle java.util.PropertyResourceBundle, key U2000.TOPOSEARCH

SEVERE: 2026-6-16 06:07:34: InmHelpMgr.getHelpIDRes(131): java.awt.Component.dispatchEvent(4711)Can't find resource for bundle java.util.PropertyResourceBundle, key U2000.TOPOSEARCH

SEVERE: 2026-6-16 06:07:34: InmHelpMgr.getHelpIDRes(131): java.awt.EventQueue.dispatchEventImpl(758)Can't find resource for bundle java.util.PropertyResourceBundle, key U2000.TOPOSEARCH

SEVERE: 2026-6-16 06:07:34: InmHelpMgr.getHelpIDRes(131): java.awt.EventQueue.access$500(97)Can't find resource for bundle java.util.PropertyResourceBundle, key U2000.TOPOSEARCH

SEVERE: 2026-6-16 06:07:34: InmHelpMgr.getHelpIDRes(131): java.awt.EventQueue$3.run(709)Can't find resource for bundle java.util.PropertyResourceBundle, key U2000.TOPOSEARCH

SEVERE: 2026-6-16 06:07:34: InmHelpMgr.getHelpIDRes(131): java.awt.EventQueue$3.run(703)Can't find resource for bundle java.util.PropertyResourceBundle, key U2000.TOPOSEARCH

SEVERE: 2026-6-16 06:07:34: InmHelpMgr.getHelpIDRes(131): java.security.AccessController.doPrivileged(-2)Can't find resource for bundle java.util.PropertyResourceBundle, key U2000.TOPOSEARCH

SEVERE: 2026-6-16 06:07:34: InmHelpMgr.getHelpIDRes(131): java.security.ProtectionDomain$JavaSecurityAccessImpl.doIntersectionPrivilege(80)Can't find resource for bundle java.util.PropertyResourceBundle, key U2000.TOPOSEARCH

SEVERE: 2026-6-16 06:07:34: InmHelpMgr.getHelpIDRes(131): java.security.ProtectionDomain$JavaSecurityAccessImpl.doIntersectionPrivilege(90)Can't find resource for bundle java.util.PropertyResourceBundle, key U2000.TOPOSEARCH

SEVERE: 2026-6-16 06:07:34: InmHelpMgr.getHelpIDRes(131): java.awt.EventQueue$4.run(731)Can't find resource for bundle java.util.PropertyResourceBundle, key U2000.TOPOSEARCH

SEVERE: 2026-6-16 06:07:34: InmHelpMgr.getHelpIDRes(131): java.awt.EventQueue$4.run(729)Can't find resource for bundle java.util.PropertyResourceBundle, key U2000.TOPOSEARCH

SEVERE: 2026-6-16 06:07:34: InmHelpMgr.getHelpIDRes(131): java.security.AccessController.doPrivileged(-2)Can't find resource for bundle java.util.PropertyResourceBundle, key U2000.TOPOSEARCH

SEVERE: 2026-6-16 06:07:34: InmHelpMgr.getHelpIDRes(131): java.security.ProtectionDomain$JavaSecurityAccessImpl.doIntersectionPrivilege(80)Can't find resource for bundle java.util.PropertyResourceBundle, key U2000.TOPOSEARCH

SEVERE: 2026-6-16 06:07:34: InmHelpMgr.getHelpIDRes(131): java.awt.EventQueue.dispatchEvent(728)Can't find resource for bundle java.util.PropertyResourceBundle, key U2000.TOPOSEARCH

SEVERE: 2026-6-16 06:07:34: InmHelpMgr.getHelpIDRes(131): java.awt.EventDispatchThread.pumpOneEventForFilters(201)Can't find resource for bundle java.util.PropertyResourceBundle, key U2000.TOPOSEARCH

SEVERE: 2026-6-16 06:07:34: InmHelpMgr.getHelpIDRes(131): java.awt.EventDispatchThread.pumpEventsForFilter(116)Can't find resource for bundle java.util.PropertyResourceBundle, key U2000.TOPOSEARCH

SEVERE: 2026-6-16 06:07:34: InmHelpMgr.getHelpIDRes(131): java.awt.EventDispatchThread.pumpEventsForHierarchy(105)Can't find resource for bundle java.util.PropertyResourceBundle, key U2000.TOPOSEARCH

SEVERE: 2026-6-16 06:07:34: InmHelpMgr.getHelpIDRes(131): java.awt.EventDispatchThread.pumpEvents(101)Can't find resource for bundle java.util.PropertyResourceBundle, key U2000.TOPOSEARCH

SEVERE: 2026-6-16 06:07:34: InmHelpMgr.getHelpIDRes(131): java.awt.EventDispatchThread.pumpEvents(93)Can't find resource for bundle java.util.PropertyResourceBundle, key U2000.TOPOSEARCH

SEVERE: 2026-6-16 06:07:34: InmHelpMgr.getHelpIDRes(131): java.awt.EventDispatchThread.run(82)Can't find resource for bundle java.util.PropertyResourceBundle, key U2000.TOPOSEARCH

